"","bio1","bio2","bio12","bio14","spp","method","rad","dist.t.cent","corr.surf"
"cents.1221",234.795607738761,174.707859311014,77469.8934919654,76.123503941646,"spp.1","pois",0.25,59065.1100606484,-0.678157420087272
"cents.1231",220.447246052172,77.1052041082833,2895.57948018197,9.62454486689714,"spp.1","pois",0.375,18.3535578917468,-0.0134024751134323
"cents.1241",-128.005893351428,49.5787975296774,5225.22207008724,23.7423913127178,"spp.1","pois",0.5,169.22813094814,0.908286593830694
"ellip.cents.1",231.874838817309,66.8440605672048,1570.9612901554,25.9810453603154,"spp.1","ellip",0,84.4534905422104,0.57002158295089
"ellip.cents.11",233.071849611962,68.3074624575179,1558.58557118994,24.8280324330948,"spp.1","ellip",0.125,84.0724740230981,0.512773069051252
"ellip.cents.12",233.712919074579,66.4188287831775,1573.40703477775,26.5543923532934,"spp.1","ellip",0.25,85.1060013862742,0.558569610599984
"ellip.cents.13",232.994753131204,67.0093557684009,1549.82798509839,26.916192275686,"spp.1","ellip",0.375,86.679433832439,0.526517734968629
"ellip.cents.14",232.806272191317,68.6275972475933,1541.81765229636,25.548988059883,"spp.1","ellip",0.5,85.6523055202763,0.493452892263556
"ellip.cents.15",230.947063124633,68.7183912204051,1547.52627932767,24.7556415510929,"spp.1","ellip",0,84.3548500943565,0.471116375891587
"ellip.cents.16",234.185705706473,67.3724319601993,1496.32555788474,22.933603334752,"spp.1","ellip",0.125,86.2562105927501,0.468694959463438
"ellip.cents.17",228.400335056802,69.2315814505679,1494.3902291208,24.2029989651945,"spp.1","ellip",0.25,86.6172353205388,0.455070034030714
"ellip.cents.18",232.194177140064,68.6744967901722,1565.28234542004,26.8408976574501,"spp.1","ellip",0.375,85.4188156476055,0.512234591054804
"ellip.cents.19",232.836527605837,67.8760210697151,1564.12176596624,25.8880520403851,"spp.1","ellip",0.5,84.7516842044791,0.500288485253898
"ellip.cents.110",230.576502336582,71.3110014632202,1537.8114943079,24.1502722155475,"spp.1","ellip",0,84.046492781685,0.349291583470713
"ellip.cents.111",224.924092786166,71.9832287743873,1384.3449646582,18.3695087049355,"spp.1","ellip",0.125,87.173055485877,0.25307073867039
"ellip.cents.112",231.907344507689,67.9983882418333,1493.50125730026,24.4817572692794,"spp.1","ellip",0.25,87.4854563891266,0.447372303220112
"ellip.cents.113",235.919925467841,65.973420679639,1551.82632467265,25.7529537331822,"spp.1","ellip",0.375,85.9425094161047,0.558764092032173
"ellip.cents.114",233.321831848704,67.4605791423999,1545.12417065665,25.1360588001097,"spp.1","ellip",0.5,85.272026765492,0.5204656920413
"ellip.cents.115",223.923553758835,75.0753225173128,1249.50223343685,11.7477463054187,"spp.1","ellip",0,89.1641005023723,-0.134489248773058
"ellip.cents.116",223.247337737234,76.3311074536767,1335.75054164981,13.1316857652152,"spp.1","ellip",0.125,84.8721801624516,-0.190886941335695
"ellip.cents.117",223.510667270531,73.3446976363009,1326.47628493789,16.8420841959972,"spp.1","ellip",0.25,88.9668749477571,0.114800163336057
"ellip.cents.118",229.753188014001,68.7697408044362,1496.21009232987,22.0751422553203,"spp.1","ellip",0.375,84.7933732700075,0.434938745511067
"ellip.cents.119",233.594730276907,68.5843870501096,1558.88843309422,27.2475711737219,"spp.1","ellip",0.5,86.3588599523277,0.491781278853123
"ellip.cents.120",229.325860189194,79.3663708513709,1172.53249158249,9.90543209876543,"spp.1","ellip",0,92.4378894202742,-0.292242386617832
"ellip.cents.121",202.043137254902,91.2996078431373,1023.88156862745,8.32705882352941,"spp.1","ellip",0.125,95.4777180854798,-0.52482096468361
"ellip.cents.122",210.994425863991,88.5739130434783,1135.5143812709,7.22260869565217,"spp.1","ellip",0.25,89.1319939612096,-0.622890510427517
"ellip.cents.123",218.163656609195,75.7497629310345,1331.36557779146,14.7006681034483,"spp.1","ellip",0.375,85.9376372882795,-0.0540659625554635
"ellip.cents.124",232.369261228492,67.7941101865778,1500.58535619621,23.1643321865192,"spp.1","ellip",0.5,85.9415431291185,0.505543249052346
"cents.2",193.3521470948,51.9170319779243,2356.60469993446,77.9299703816763,"spp.2","hard",0,48.6808948657082,0.905686489909023
"cents.21",174.144507073658,43.8972345638894,2669.07192296741,-678.209206516565,"spp.2","hard",0,5825.35506675735,0.873501247586257
"cents.22",227.00271914733,73.7969836954065,2096.83464694776,75.116750178998,"spp.2","hard",0,39.396187563717,0.870680337357845
"cents.23",296.435928742796,278.843014550237,1014.18701984355,6.21086178683972,"spp.2","hard",0,310.814407331366,0.836877971315075
"cents.24",219.578361761627,103.213031309662,754.076698092013,47.1326437572153,"spp.2","hard",0,58.2491432744059,0.767612455702557
"cents.25",179.117175390151,56.735938929436,2154.98663603646,375.527009898737,"spp.2","hard",0.125,432.140642951019,0.847943472798871
"cents.26",204.611305363929,64.401177596574,2689.41944726922,79.7711889356356,"spp.2","hard",0.125,48.0707826701647,0.911838987790666
"cents.27",180.257280878094,39.5077467340436,2539.79401244872,-4.29226460093646,"spp.2","hard",0.125,226.053988357551,0.85659343318038
"cents.28",217.302179861667,69.6617573602172,-46.9971036327659,35.1363793703024,"spp.2","hard",0.125,97.8060677346655,0.743943639942543
"cents.29",154.470042200526,90.2261302308857,656.106975870371,5.61691752476221,"spp.2","hard",0.125,128.357966941854,0.825139119580754
"cents.210",264.235301294645,53.8078859660527,2224.04652366266,1.44794022038106,"spp.2","hard",0.25,180.158885293415,0.794686043310976
"cents.211",153.389856707167,64.7870512354401,2573.17451544956,88.3848450892613,"spp.2","hard",0.25,42.7108325531566,0.835275128296436
"cents.212",313.651213385286,70.3286533635181,-2363.43211901477,76.9644792789842,"spp.2","hard",0.25,206.95973326431,0.821067639615925
"cents.213",204.461782110396,152.516996701971,-3754.52512990357,78.13795647668,"spp.2","hard",0.25,265.893814855564,0.850936582780916
"cents.214",76.5750382299397,121.14182155563,4694.5687808312,77.0768588669792,"spp.2","hard",0.25,185.424119613483,0.84582169171497
"cents.215",209.795052617612,57.486238001311,2323.4062252019,-52.6714011155367,"spp.2","hard",0.375,342.089112110963,-0.19808681630014
"cents.216",177.474047317907,52.490442559099,2232.70256500198,91.7664017237716,"spp.2","hard",0.375,34.0741043129714,-0.211621810448205
"cents.217",197.148938244102,71.9494175076792,2033.75640770093,141.667849345557,"spp.2","hard",0.375,1.68902245581796,0.66768420787665
"cents.218",138.551600405825,152.717776494181,824.644552440022,144.13181081439,"spp.2","hard",0.375,33.7027936925249,0.865900527645384
"cents.219",157.368987506114,109.594372092514,858.944867813958,9.90551841648387,"spp.2","hard",0.375,111.185312974012,0.853938667025106
