"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf","model"
0.788205469158967,26.0895512000436,1,0,1,1,"PPM","outer","Saturated"
0.991742066952936,6318.18479296701,2,0,1,0,"PPM","outer","Saturated"
0.903482511444198,24.8219216608356,0,0,0,3,"PPM","outer","Saturated"
0.949183445690584,12.0060032753983,2,0,0,1,"PPM","outer","Saturated"
0.122560629672967,781.449116080221,1,1,0,1,"PPM","outer","Saturated"
0.935624287834364,19.4678101901929,0,2,0,1,"PPM","outer","Saturated"
0.946009139691743,684.739917634318,1,2,0,0,"PPM","outer","Saturated"
0.952871896941714,24.9699929501537,2,0,1,0,"PPM","outer","Saturated"
0.982876531568059,48.2748494011102,1,0,1,1,"PPM","outer","Saturated"
0.948602222318233,28259.4090729651,2,1,0,0,"PPM","outer","Saturated"
0.924403567652058,4.02370894286047,0,0,3,0,"PPM","outer","Saturated"
0.974293319145298,8.97141262382761,2,0,1,0,"PPM","outer","Saturated"
0.90793644611993,147.129822869678,0,2,1,0,"PPM","outer","Saturated"
0.307408350814604,501.549471680886,2,1,0,0,"PPM","outer","Saturated"
0.91359383253165,73.937970027044,0,1,1,1,"PPM","outer","Saturated"
0.979438894190709,0.504244784307805,1,1,1,0,"PPM","outer","Saturated"
0.825524697822795,74.1750516973175,1,1,0,1,"PPM","outer","Saturated"
0.799996890679255,48.4078804099175,1,2,0,0,"PPM","outer","Saturated"
0.675702283360557,77.2993215356382,1,2,0,0,"PPM","outer","Saturated"
0.252101801627895,426.837628358201,2,1,0,0,"PPM","outer","Saturated"
0.934331786748603,8.27830376239477,1,0,1,1,"PPM","outer","Saturated"
0.943334080061084,100.554847943439,2,0,1,0,"PPM","outer","Saturated"
0.982738730961475,2.07086042432395,1,1,1,0,"PPM","outer","Saturated"
0.334773376254731,120.389114637826,0,1,0,2,"PPM","outer","Saturated"
0.959418233757739,6.72978144533633,1,1,1,0,"PPM","outer","Saturated"
0.343697147564074,1535.0642141747,2,1,0,0,"PPM","outer","Saturated"
0.96823287721539,588.123961238279,2,0,0,1,"PPM","outer","Saturated"
0.867061738981266,171.351873994582,1,1,1,0,"PPM","outer","Saturated"
0.953503428495528,245.599492292518,2,0,0,1,"PPM","outer","Saturated"
0.744343537193654,48.0064975001048,2,0,0,1,"PPM","outer","Saturated"
0.163993922966046,1105.96107960788,1,2,0,0,"PPM","outer","Saturated"
0.932691532141271,2.92009149416256,0,0,2,1,"PPM","outer","Saturated"
0.95580125745555,8.54952371520605,3,0,0,0,"PPM","outer","Saturated"
0.825980522566325,7571.18877396155,1,0,1,1,"PPM","outer","Saturated"
0.961753824810782,9.11272492943154,2,0,0,1,"PPM","outer","Saturated"
0.304998949731069,313.904155169966,0,1,1,1,"PPM","outer","Saturated"
0.940835609014734,104.148893889655,1,1,1,0,"PPM","outer","Saturated"
0.301972854630969,183.528426574146,1,0,0,2,"PPM","outer","Saturated"
0.952415347773506,3.72654182428045,0,1,2,0,"PPM","outer","Saturated"
0.531275943832649,117.699848272766,2,1,0,0,"PPM","outer","Saturated"
0.911636661177882,135.096366293617,1,0,1,1,"PPM","outer","Saturated"
0.687341767992034,52.1343796628018,0,1,1,1,"PPM","outer","Saturated"
0.980491832197399,13197.1917420012,2,1,0,0,"PPM","outer","Saturated"
0.866247558648292,18.1502200477332,0,1,2,0,"PPM","outer","Saturated"
0.409421561064275,423.002406528333,1,0,1,1,"PPM","outer","Saturated"
0.937166049878411,595.15541746156,0,1,1,1,"PPM","outer","Saturated"
0.930824364562512,760.4891274577,1,1,1,0,"PPM","outer","Saturated"
0.932188465132795,18.1996056902923,2,0,1,0,"PPM","outer","Saturated"
0.928995757006518,5.69695872259478,2,0,1,0,"PPM","outer","Saturated"
0.0576917835181416,1707.37911141632,2,1,0,0,"PPM","outer","Saturated"
0.933050679694286,297.62537086592,2,0,0,1,"PPM","outer","Saturated"
0.981747956485166,339.202135798885,2,1,0,0,"PPM","outer","Saturated"
0.853313295924196,19.9997262056666,0,0,2,1,"PPM","outer","Saturated"
0.985605456884003,8.94960436735733,1,0,1,1,"PPM","outer","Saturated"
0.89994553349208,7.55918156503245,2,1,0,0,"PPM","outer","Saturated"
0.930795886435527,12.8582667987355,3,0,0,0,"PPM","outer","Saturated"
0.966966327452512,5.75551387811471,1,1,0,1,"PPM","outer","Saturated"
0.968476099393047,681.850279896922,2,0,1,0,"PPM","outer","Saturated"
0.965056026161138,9197.3583028655,3,0,0,0,"PPM","outer","Saturated"
0.934485520918553,5185.37150954759,2,0,0,1,"PPM","outer","Saturated"
0.289027636061777,263.722457293878,1,1,0,1,"PPM","outer","Saturated"
0.236950985911098,772.397113193649,0,2,0,1,"PPM","outer","Saturated"
0.958711244368184,334.434114080768,2,1,0,0,"PPM","outer","Saturated"
0.889623091107243,11.201066041393,1,1,1,0,"PPM","outer","Saturated"
0.958030771587664,320.248661961773,1,1,0,1,"PPM","outer","Saturated"
0.710804913129884,71.1256574688202,1,1,0,1,"PPM","outer","Saturated"
0.952539777121968,37365.421582662,1,0,2,0,"PPM","outer","Saturated"
0.061371768455777,1634.16729066725,0,0,2,1,"PPM","outer","Saturated"
0.830924233384717,18.2436101597591,1,1,1,0,"PPM","outer","Saturated"
0.876417041945255,31.3877918969455,2,0,0,1,"PPM","outer","Saturated"
0.984185211275711,33.2320541969908,0,0,2,1,"PPM","outer","Saturated"
0.0876344898726092,3648.94759481605,0,0,2,1,"PPM","outer","Saturated"
0.355367607864195,348.070986470013,1,2,0,0,"PPM","outer","Saturated"
0.969562545939175,1.91612368494381,0,0,2,1,"PPM","outer","Saturated"
0.985457028186486,39.8891201385773,0,0,1,2,"PPM","outer","Saturated"
0.670706561871794,43.1903952436763,0,0,1,2,"PPM","outer","Saturated"
0.971717019569801,1903.35698157245,1,0,2,0,"PPM","outer","Saturated"
0.961616574486555,24.674197598317,2,0,1,0,"PPM","outer","Saturated"
0.792095443012141,201.973222750687,0,0,1,2,"PPM","outer","Saturated"
0.905748115287562,107.433746023335,1,1,1,0,"PPM","outer","Saturated"
0.966260415777901,122.140850780433,1,1,1,0,"PPM","outer","Saturated"
0.958325942281882,1.94762028501555,1,0,1,1,"PPM","outer","Saturated"
0.976635901672819,126.901929284164,2,0,1,0,"PPM","outer","Saturated"
0.939707446958188,2.06203529761223,3,0,0,0,"PPM","outer","Saturated"
0.187820453844121,915.158578281183,2,1,0,0,"PPM","outer","Saturated"
0.96444543658193,174.373830732793,3,0,0,0,"PPM","outer","Saturated"
0.97937306679082,4.42009441650968,1,0,1,1,"PPM","outer","Saturated"
0.169694402885786,1240.81680134879,0,2,0,1,"PPM","outer","Saturated"
0.389939496882727,699.564898220697,0,1,2,0,"PPM","outer","Saturated"
0.69701555108259,654.527104784298,0,1,1,1,"PPM","outer","Saturated"
0.978508217972069,72.1273236027048,1,0,1,1,"PPM","outer","Saturated"
0.0571668917082367,1292.69636715773,1,1,1,0,"PPM","outer","Saturated"
0.904742896404721,176.742191193859,0,0,1,2,"PPM","outer","Saturated"
0.968380774630246,154.68468918624,0,2,0,1,"PPM","outer","Saturated"
0.957117085697564,3.87739154326945,2,0,0,1,"PPM","outer","Saturated"
0.51868826393164,191.249211354041,1,1,1,0,"PPM","outer","Saturated"
0.97763765895936,10.4891903963758,1,0,0,2,"PPM","outer","Saturated"
0.958450132041248,7.28543460856834,2,0,0,1,"PPM","outer","Saturated"
0.837119725492939,47.0541072956872,1,1,1,0,"PPM","outer","Saturated"
0.933243402959738,5.59002651070363,2,1,0,0,"PPM","outer","Saturated"
0.980689417815306,2367.03376288161,1,0,1,1,"PPM","outer","Saturated"
0.985583476531495,22.9299773622879,2,1,0,0,"PPM","outer","Saturated"
0.951950958349323,3.10207141401147,2,0,1,0,"PPM","outer","Saturated"
0.540789832830562,195.207023448312,1,1,1,0,"PPM","outer","Saturated"
0.933964883772631,11.9223557012809,2,0,1,0,"PPM","outer","Saturated"
0.853374007578999,11.8172959435862,1,1,0,1,"PPM","outer","Saturated"
0.984306356773649,50.7889665821798,0,1,1,1,"PPM","outer","Saturated"
0.261420052530606,1006.10694091235,1,1,0,1,"PPM","outer","Saturated"
0.966099160128963,185.930496652549,2,1,0,0,"PPM","outer","Saturated"
0.954368916939118,4911.37157235061,2,0,1,0,"PPM","outer","Saturated"
0.967378240827587,2.95768894712188,2,0,1,0,"PPM","outer","Saturated"
0.774073823042389,67.8545525838368,1,0,0,2,"PPM","outer","Saturated"
0.974540895728166,49.1831052389991,1,0,1,1,"PPM","outer","Saturated"
0.90000474041386,858.19821922746,1,0,1,1,"PPM","outer","Saturated"
0.198618706204977,848.717951020064,0,2,0,1,"PPM","outer","Saturated"
0.95547042870806,2.36201963289267,2,0,0,1,"PPM","outer","Saturated"
0.166459759578968,906.421753154733,2,1,0,0,"PPM","outer","Saturated"
