"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.948064498093411,0.00380338983872287,3,0,0,0,"Mod-ellipses"
0.927577551562125,0.0679797135442523,2,0,0,1,"Mod-ellipses"
0.853326316633436,0.37543898602179,1,0,1,1,"Mod-ellipses"
0.946524423491404,0.00570777676191644,2,0,0,1,"Mod-ellipses"
0.901555623274444,0.0598019934387598,2,1,0,0,"Mod-ellipses"
0.827692324752845,0.223606123942916,0,1,2,0,"Mod-ellipses"
0.895377309312396,0.100402673803393,0,1,2,0,"Mod-ellipses"
0.984496368590789,0.00329887332020609,3,0,0,0,"Mod-ellipses"
0.798720244118323,0.0333539208369306,1,2,0,0,"Mod-ellipses"
0.874877339928549,0.0184643539188528,1,1,0,1,"Mod-ellipses"
0.849663645011716,0.0230072719120529,0,2,1,0,"Mod-ellipses"
0.954892631612912,0.00674153511254433,2,1,0,0,"Mod-ellipses"
0.9396347786662,0.0298735680747619,1,2,0,0,"Mod-ellipses"
0.799718428006273,0.164003279037055,1,1,0,1,"Mod-ellipses"
0.918483876148732,0.0616893941300454,1,0,1,1,"Mod-ellipses"
0.927970501448551,0.158678454908187,0,1,1,1,"Mod-ellipses"
0.862332203719244,0.0753580639261619,0,2,1,0,"Mod-ellipses"
0.822954555700876,0.0282030801973718,0,1,1,1,"Mod-ellipses"
0.86847078737534,0.00757030659754015,2,0,1,0,"Mod-ellipses"
0.985895612655566,0.0935261673150781,1,0,2,0,"Mod-ellipses"
0.833758065456909,0.0842144698469778,0,2,1,0,"Mod-ellipses"
0.823400113729773,0.0666521700736432,1,1,1,0,"Mod-ellipses"
0.578570748438791,0.649104050354008,1,1,1,0,"Mod-ellipses"
0.908020686364112,0.0204365485121083,1,1,0,1,"Mod-ellipses"
0.953947323341051,0.194078949391379,2,0,1,0,"Mod-ellipses"
0.894658570224649,0.0116347196231684,3,0,0,0,"Mod-ellipses"
0.915695355331521,0.00948645360868674,2,0,1,0,"Mod-ellipses"
0.748336287935977,0.043166649961362,2,0,1,0,"Mod-ellipses"
