"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.965979255754555,0.0397506453346088,2,0,0,1,"Ellipses"
0.946721798731721,0.0712054578667759,0,2,1,0,"Ellipses"
0.930965844771579,0.136761644167096,1,1,1,0,"Ellipses"
0.971075615308327,0.0110633651276139,2,0,0,1,"Ellipses"
0.911308381871836,0.163102117667763,1,1,0,1,"Ellipses"
0.841846676062682,0.561246633860447,0,0,1,2,"Ellipses"
0.88738890489465,0.269527914978561,1,1,0,1,"Ellipses"
0.963359193030767,0.0240827379350704,3,0,0,0,"Ellipses"
0.9083712222244,0.293849265895804,1,0,2,0,"Ellipses"
0.963480559076987,0.0228948372061315,2,0,0,1,"Ellipses"
0.969240353750735,0.0116405585693582,1,0,1,1,"Ellipses"
0.95092619494654,0.0892149996339521,1,1,0,1,"Ellipses"
0.915177319499968,0.310798385752909,1,2,0,0,"Ellipses"
0.966124122617968,0.026426862443987,2,0,1,0,"Ellipses"
0.815052811698657,0.728918123896115,0,1,0,2,"Ellipses"
0.924702929322447,0.16557655504833,2,1,0,0,"Ellipses"
0.918957329280607,0.276468615089344,1,0,0,2,"Ellipses"
0.948989618262143,0.198573463077712,1,1,1,0,"Ellipses"
0.798049918965294,13.2192728896831,1,1,0,1,"Ellipses"
0.882819854419096,0.46834654529704,1,0,0,2,"Ellipses"
0.910559925777521,0.248594172604715,1,2,0,0,"Ellipses"
0.869138639216784,0.360182436883334,0,2,1,0,"Ellipses"
0.895432391586974,0.361595558295766,0,0,3,0,"Ellipses"
0.924850000031356,0.214897480358021,1,0,1,1,"Ellipses"
0.951044412736773,0.0567483802192993,3,0,0,0,"Ellipses"
0.911912853219915,0.171409455731705,1,1,0,1,"Ellipses"
0.858449457585387,0.525580402917053,1,0,2,0,"Ellipses"
0.963644329084928,0.0322956416809402,1,1,1,0,"Ellipses"
0.943997711354258,0.168508758295183,2,0,1,0,"Ellipses"
0.960133043700139,0.0349533342076128,1,0,1,1,"Ellipses"
0.907625344801654,0.229562507881661,1,1,1,0,"Ellipses"
0.949879767010863,0.0752233444821496,0,1,2,0,"Ellipses"
0.919370183138641,0.155653125775294,1,0,1,1,"Ellipses"
0.906414115941145,0.197198105598173,1,0,1,1,"Ellipses"
0.96720120651959,0.0415086336466849,2,0,0,1,"Ellipses"
0.923679495914401,0.153643165281842,2,0,0,1,"Ellipses"
0.916513477997109,0.168614987072025,1,0,1,1,"Ellipses"
0.837846955890167,0.722137270072607,1,1,0,1,"Ellipses"
0.936752131537404,0.112848574565277,1,0,1,1,"Ellipses"
0.958928408011749,0.0440997447127097,3,0,0,0,"Ellipses"
0.578405967797896,3.1010594363868,0,0,1,2,"Ellipses"
0.940941625359677,0.114292272988613,1,1,1,0,"Ellipses"
0.964985879787103,0.0155463370607135,2,0,1,0,"Ellipses"
0.962006822156308,0.0298373212742194,1,1,0,1,"Ellipses"
0.874530219382251,0.335499266256975,0,2,0,1,"Ellipses"
0.946412324884678,0.0783388090585084,2,1,0,0,"Ellipses"
0.93616244987611,0.122547395907789,1,1,0,1,"Ellipses"
0.862783056212444,0.391767035963427,1,0,1,1,"Ellipses"
0.934303842768796,0.216956911612019,1,0,2,0,"Ellipses"
0.892641318464031,0.267680149348123,0,3,0,0,"Ellipses"
