"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.979227889910438,0.676588321995207,0,0,2,1,"PPM"
0.944115226840129,10.4183159659622,0,1,0,2,"PPM"
0.973716435760413,0.0362784725635722,0,2,0,1,"PPM"
0.973468018811002,0.327209676560029,1,1,0,1,"PPM"
0.911344211963823,0.901197580502646,1,1,0,1,"PPM"
0.958891280363297,1.17246157691923,0,3,0,0,"PPM"
0.96988123674334,0.145285596182737,1,0,2,0,"PPM"
0.952619972298052,0.0147537283915308,1,0,1,1,"PPM"
0.962214130462046,0.01310970430094,1,0,0,2,"PPM"
0.925904939582662,17002.590421107,1,1,1,0,"PPM"
0.959818879477041,0.0878854220599542,1,1,0,1,"PPM"
0.962598279309039,0.0998421842775382,1,0,0,2,"PPM"
0.975491171226847,0.865782696777081,0,0,3,0,"PPM"
0.970382686565006,0.012012900747064,2,0,0,1,"PPM"
0.959578000742057,0.0936429905361789,0,1,1,1,"PPM"
0.97853677098668,5.6652943841978,0,0,1,2,"PPM"
0.970399050911517,1.57016789609938,1,1,1,0,"PPM"
0.957506053460379,0.0292146391100226,1,0,2,0,"PPM"
0.876020582899926,78.3828512962251,1,1,1,0,"PPM"
0.963403450417335,1.57566391277262,0,2,1,0,"PPM"
0.927544565859931,0.851933944268488,2,0,1,0,"PPM"
0.938995684801218,0.480077499166529,0,1,0,2,"PPM"
0.932263674218569,0.0114407538483116,1,1,1,0,"PPM"
0.957383451016882,12.2447708556775,1,0,1,1,"PPM"
0.97449438449504,0.0265193409761969,0,0,2,1,"PPM"
0.948735966095789,0.85129805256919,1,0,1,1,"PPM"
0.930420864297765,0.454297159060593,1,0,0,2,"PPM"
0.975359095292274,0.183457372098318,1,0,2,0,"PPM"
0.960939373273677,2.28712776345731,1,0,1,1,"PPM"
0.934469289336664,0.716671855810368,1,1,1,0,"PPM"
0.973277321546142,0.120457506950461,1,1,1,0,"PPM"
0.953311697085753,0.0590871403645931,1,1,0,1,"PPM"
0.833887167563886,826.362195337216,1,0,1,1,"PPM"
0.979260976439932,0.345659501259887,1,1,0,1,"PPM"
0.953591470749285,201.196065571472,1,2,0,0,"PPM"
0.922464789429389,0.0977368282936254,1,1,1,0,"PPM"
