Species,Latitud,Longitud
Cal_mel,43.6495507,-106.1980599
Cal_mel,45.0215533,-95.432057
Cal_mel,32.5335077,-107.4876559
Cal_mel,32.5696495,-101.9072519
Cal_mel,45.7251707,-109.5466543
Cal_mel,50.003619,-103.575915
Cal_mel,35.7361327,-101.1865919
Cal_mel,41.7045727,-113.8906629
Cal_mel,44.3749577,-108.1427379
Cal_mel,38.6945177,-104.0715939
Cal_mel,32.3245289,-108.1067589
Cal_mel,50.632585,-104.928012
Cal_mel,41.1634457,-101.2702409
Cal_mel,41.2755777,-111.2019889
Cal_mel,41.6704617,-107.9708859
Cal_mel,47.0675197,-99.6292032
Cal_mel,48.5899857,-103.0592269
Cal_mel,48.8382207,-104.8419949
Cal_mel,42.3149627,-108.2040709
Cal_mel,42.0970487,-109.4769749
Cal_mel,41.9187247,-98.6840139
Cal_mel,45.9440787,-105.4130672
Cal_mel,48.682302,-111.46974
Cal_mel,42.2796649,-101.7208618
Cal_mel,39.7702227,-99.2540059
Cal_mel,38.1437717,-102.5212329
Cal_mel,35.3720817,-100.9735949
Cal_mel,44.8424287,-109.1482929
Cal_mel,44.0210147,-102.5874329
Cal_mel,39.9739037,-109.6520609
Cal_mel,41.1189127,-99.7141019
Cal_mel,37.2067937,-102.8682559
Cal_mel,49.63106,-104.716348
Cal_mel,34.2015977,-102.2361909
Cal_mel,44.3862037,-100.4910279
Cal_mel,46.6205137,-112.4949499
Cal_mel,39.6105587,-103.1230999
Cal_mel,46.7477197,-98.4812089
Cal_mel,46.1988347,-108.4511499
Cal_mel,42.7519425,-102.9147494
Cal_mel,40.0653006,-108.4153871
Cal_mel,35.6605096,-105.3361242
Cal_mel,44.2320836,-96.9486732
Cal_mel,43.5789808,-100.9295573
Cal_mel,40.7402199,-108.0883263
Cal_mel,38.2958688,-102.7381166
Cal_mel,37.6909727,-105.927905
Cal_mel,42.8336867,-109.6728209
Cal_mel,44.2045607,-105.7138139
Cal_mel,37.3389499,-104.5848671
Cal_mel,49.435467,-104.58456
Cal_mel,43.3137817,-99.8703379
Cal_mel,49.959232,-109.530288
Cal_mel,33.9958055,-105.1106501
Cal_mel,40.6141447,-102.0845649
Cal_mel,42.1915702,-96.7354923
Cal_mel,49.610032,-102.593443
Cal_mel,39.1767667,-101.9689869
Cal_mel,42.8728707,-107.5244369
Cal_mel,45.9442265,-101.6387111
Cal_mel,43.3387265,-113.8743621
Cal_mel,39.9658907,-107.6483229
Cal_mel,38.7624107,-103.3489149
Cal_mel,34.4180504,-100.1916929
Cal_mel,50.38,-108.71
Cal_mel,42.8372527,-105.8112249
Cal_mel,45.2341239,-103.7823662
Cal_mel,48.2818817,-98.7246389
Cal_mel,51.328388,-111.080429
Cal_mel,40.8403233,-107.6901017
Cal_mel,36.7098467,-99.7284459
Cal_mel,42.0059106,-101.0465689
Cal_mel,44.9067977,-97.9423379
Cal_mel,48.02897,-98.4333597
Cal_mel,42.9298442,-103.875342
Cal_mel,49.640135,-107.991963
Cal_mel,47.6171277,-103.5450979
Cal_mel,36.2853161,-101.0402636
